player_name,team,season,position
Maxie Baughan,LA,1966,LB
Dan Currie,LA,1966,LB
Bill George,LA,1966,LB
Jack Pardee,LA,1966,LB
Myron Pottios,LA,1966,LB
Doug Woodlief,LA,1966,LB
Joe Carollo,LA,1966,OL
Don Chuy,LA,1966,OL
Charley Cowan,LA,1966,OL
Ken Iman,LA,1966,OL
Ted Karras,LA,1966,OL
Tom Mack,LA,1966,OL
Bob Nichols,LA,1966,OL
Joe Scibelli,LA,1966,OL
Joe Wendryhoski,LA,1966,OL
Jon Kilgore,LA,1966,P
Roman Gabriel,LA,1966,QB
Bill Munson,LA,1966,QB
Dick Bass,LA,1966,RB
Henry Dyer,LA,1966,RB
Les Josephson,LA,1966,RB
Tom Moore,LA,1966,RB
Jim Stiger,LA,1966,RB
Marlin McKeever,LA,1966,TE
Dave Pivec,LA,1966,TE
Billy Truax,LA,1966,TE
Steve Heckard,LA,1966,WR
Tommy McDonald,LA,1966,WR
Bucky Pope,LA,1966,WR
Jack Snow,LA,1966,WR
Pete Jaquess,MIA,1966,DB
John McGeever,MIA,1966,DB
Bob Neff,MIA,1966,DB
Bob Petrella,MIA,1966,DB
Hal Wantland,MIA,1966,DB
Jimmy Warren,MIA,1966,DB
Willie West,MIA,1966,DB
Dick Westmoreland,MIA,1966,DB
Mel Branch,MIA,1966,DL
Whit Canale,MIA,1966,DL
Ed Cooke,MIA,1966,DL
Al Dotson,MIA,1966,DL
Earl Faison,MIA,1966,DL
Johnny Holmes,MIA,1966,DL
Tom Nomina,MIA,1966,DL
LaVerne Torczon,MIA,1966,DL
Rich Zecher,MIA,1966,DL
Bob Bruggers,MIA,1966,LB
Frank Emanuel,MIA,1966,LB
Tom Erlandson,MIA,1966,LB
Tom Goode,MIA,1966,LB
Wahoo McDaniel,MIA,1966,LB
Jack Rudolph,MIA,1966,LB
Jack Thornton,MIA,1966,LB
Norm Evans,MIA,1966,OL
Jim Higgins,MIA,1966,OL
Mike Hudock,MIA,1966,OL
Billy Neighbors,MIA,1966,OL
Ernie Park,MIA,1966,OL
Ken Rice,MIA,1966,OL
Maxie Williams,MIA,1966,OL
Rick Norton,MIA,1966,QB
John Stofa,MIA,1966,QB
George Wilson,MIA,1966,QB
Dick Wood,MIA,1966,QB
Joe Auer,MIA,1966,RB
Rick Casares,MIA,1966,RB
George Chesser,MIA,1966,RB
Cookie Gilchrist,MIA,1966,RB
Billy Joe,MIA,1966,RB
Gene Mingo,MIA,1966,RB
Stan Mitchell,MIA,1966,RB
Sam Price,MIA,1966,RB
Bill Cronin,MIA,1966,TE
Dave Kocourek,MIA,1966,TE
Doug Moreau,MIA,1966,TE
Billy Hunter,MIA,1966,WR
Frank Jackson,MIA,1966,WR
Wes Matthews,MIA,1966,WR
Karl Noonan,MIA,1966,WR
Bo Roberson,MIA,1966,WR
John Roderick,MIA,1966,WR
Howard Twilley,MIA,1966,WR
Mike Fitzgerald,MIN,1966,DB
Dale Hackbart,MIN,1966,DB
Jeff Jordan,MIN,1966,DB
Karl Kassulke,MIN,1966,DB
Earsell Mackbee,MIN,1966,DB
George Rose,MIN,1966,DB
Ed Sharockman,MIN,1966,DB
Paul Dickson,MIN,1966,DL
Carl Eller,MIN,1966,DL
Gary Larsen,MIN,1966,DL
Jim Marshall,MIN,1966,DL
Jerry Shay,MIN,1966,DL
Mike Tilleman,MIN,1966,DL
Fred Cox,MIN,1966,K
Don Hansen,MIN,1966,LB
John Kirby,MIN,1966,LB
Bob Schmitz,MIN,1966,LB
Dave Tobey,MIN,1966,LB
Lonnie Warwick,MIN,1966,LB
Roy Winston,MIN,1966,LB
Grady Alderman,MIN,1966,OL
Chuck Arrobio,MIN,1966,OL
Larry Bowie,MIN,1966,OL
Doug Davis,MIN,1966,OL
Milt Sunde,MIN,1966,OL
Archie Sutton,MIN,1966,OL
Mick Tingelhoff,MIN,1966,OL
Jim Vellone,MIN,1966,OL
Bobby Walden,MIN,1966,P
Bob Berry,MIN,1966,QB
Fran Tarkenton,MIN,1966,QB
Ron Vander Kelen,MIN,1966,QB
Billy Barnes,MIN,1966,RB
Bill Brown,MIN,1966,RB
Phil King,MIN,1966,RB
Jim Lindsey,MIN,1966,RB
Tommy Mason,MIN,1966,RB
Dave Osborn,MIN,1966,RB
Jeff Williams,MIN,1966,RB
Jim Young,MIN,1966,RB
Hal Bedsole,MIN,1966,TE
Preston Carpenter,MIN,1966,TE
John Powers,MIN,1966,TE
Paul Flatley,MIN,1966,WR
Tom Hall,MIN,1966,WR
Jim Phillips,MIN,1966,WR
Lance Rentzel,MIN,1966,WR
Henry Carr,NYG,1966,DB
Clarence Childs,NYG,1966,DB
Phil Harris,NYG,1966,DB
Wendell Harris,NYG,1966,DB
Carl Lockhart,NYG,1966,DB
Dick Lynch,NYG,1966,DB
Jimmy Patton,NYG,1966,DB
Glen Condren,NYG,1966,DL
Don Davis,NYG,1966,DL
Rosey Davis,NYG,1966,DL
Jim Garcia,NYG,1966,DL
Jim Katcavage,NYG,1966,DL
Bill Matan,NYG,1966,DL
Jim Moran,NYG,1966,DL
Jim Prestel,NYG,1966,DL
Pete Gogolak,NYG,1966,K
Jim Carroll,NYG,1966,LB
Mike Ciccolella,NYG,1966,LB
Jerry Hillebrand,NYG,1966,LB
Stan Sczurek,NYG,1966,LB
Jeff Smith,NYG,1966,LB
Larry Vargo,NYG,1966,LB
Freeman White,NYG,1966,LB
Bookie Bolin,NYG,1966,OL
Pete Case,NYG,1966,OL
Roger Davis,NYG,1966,OL
Darrell Dess,NYG,1966,OL
Charlie Harper,NYG,1966,OL
Greg Larson,NYG,1966,OL
Francis Peay,NYG,1966,OL
Bob Scholtz,NYG,1966,OL
Joe Wellborn,NYG,1966,OL
Willie Young,NYG,1966,OL
Tom Kennedy,NYG,1966,QB
Earl Morrall,NYG,1966,QB
Gary Wood,NYG,1966,QB
Steve Bowman,NYG,1966,RB
Allen Jacobs,NYG,1966,RB
Ernie Koy,NYG,1966,RB
Dan Lewis,NYG,1966,RB
Chuck Mercein,NYG,1966,RB
Smith Reed,NYG,1966,RB
Steve Thurlow,NYG,1966,RB
Bob Crespino,NYG,1966,TE
Aaron Thomas,NYG,1966,TE
Homer Jones,NYG,1966,WR
Pep Menefee,NYG,1966,WR
Joe Morrison,NYG,1966,WR
Del Shofner,NYG,1966,WR
Ray Abruzzese,NYJ,1966,DB
Bill Baird,NYJ,1966,DB
Earl Christy,NYJ,1966,DB
Cornell Gordon,NYJ,1966,DB
Jim Gray,NYJ,1966,DB
Pat Gucciardo,NYJ,1966,DB
Jim Hudson,NYJ,1966,DB
Sherman Lewis,NYJ,1966,DB
Dainard Paulson,NYJ,1966,DB
Johnny Sample,NYJ,1966,DB
Verlon Biggs,NYJ,1966,DL
Steve Chomyszak,NYJ,1966,DL
Jim Harris,NYJ,1966,DL
Gerry Philbin,NYJ,1966,DL
Paul Rochester,NYJ,1966,DL
Henry Schmidt,NYJ,1966,DL
Bob Werl,NYJ,1966,DL
Bert Wilder,NYJ,1966,DL
Bill Yearby,NYJ,1966,DL
Jim Turner,NYJ,1966,K
Al Atkinson,NYJ,1966,LB
Ralph Baker,NYJ,1966,LB
Paul Crane,NYJ,1966,LB
Larry Grantham,NYJ,1966,LB
Jim O'Mahoney,NYJ,1966,LB
Nick DeFelice,NYJ,1966,OL
Sam DeLuca,NYJ,1966,OL
Mitch Dudek,NYJ,1966,OL
Dan Ficca,NYJ,1966,OL
Dave Herman,NYJ,1966,OL
Winston Hill,NYJ,1966,OL
Pete Perreault,NYJ,1966,OL
Sherman Plunkett,NYJ,1966,OL
John Schmitt,NYJ,1966,OL
Jim Waskiewicz,NYJ,1966,OL
Joe Namath,NYJ,1966,QB
Mike Taliaferro,NYJ,1966,QB
Emerson Boozer,NYJ,1966,RB
Curley Johnson,NYJ,1966,RB
Bill Mathis,NYJ,1966,RB
Allen Smith,NYJ,1966,RB
Mark Smolinski,NYJ,1966,RB
Matt Snell,NYJ,1966,RB
Pete Lammons,NYJ,1966,TE
